image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE,mask_prob,method,protein
15,1,1,fourier_radial,0.0,0.0686135217547416,0.2088956981897354,17.656502689531226,0.2645114502808118,0.3126155436038971,33.5285530090332,0.0002359353238716,0.1,dct,EMPIAR10076_128
0,1,1,fourier_ring,0.0,0.0859584212303161,0.2335574626922607,16.67771559154621,0.1451176909021743,0.1988372355699539,37.52789306640625,6.897531079630426e-07,0.1,dct,EMPIAR10076_128
1,1,1,fourier_ring,0.0,0.1009103655815124,0.2533153593540191,15.981241839879605,0.1696107168626218,0.2449883818626403,40.660980224609375,6.624532034038566e-07,0.1,dct,EMPIAR10076_128
2,1,1,fourier_ring,0.0,0.0869378298521041,0.2347657829523086,16.628511926105112,0.1603614732603009,0.2381809949874878,37.74108505249024,6.189961823110934e-07,0.1,dct,EMPIAR10076_128
3,1,1,fourier_ring,0.0,0.1026075556874275,0.2561214566230774,15.90880654699952,0.1493919820085275,0.1969571262598037,41.00149154663086,6.708512501063524e-07,0.1,dct,EMPIAR10076_128
4,1,1,fourier_ring,0.0,0.0995458215475082,0.2519063949584961,16.040369527178196,0.1591177578875071,0.2217808365821838,40.3851318359375,6.948324084987689e-07,0.1,dct,EMPIAR10076_128
5,1,1,fourier_ring,0.0,0.0838398113846778,0.2310283333063125,16.786096906479088,0.1436335019051549,0.2294718772172927,37.06253433227539,6.770557661184284e-07,0.1,dct,EMPIAR10076_128
6,1,1,fourier_ring,0.0,0.0989729613065719,0.2509306073188782,16.06543441849139,0.1703902832393077,0.2531123459339142,40.26876068115234,6.649548254245019e-07,0.1,dct,EMPIAR10076_128
7,1,1,fourier_ring,0.0,0.094240128993988,0.244154542684555,16.278241331681393,0.1620939784596374,0.1831551641225814,39.29415130615234,6.71705322474736e-07,0.1,dct,EMPIAR10076_128
8,1,1,fourier_ring,0.0,0.0901149362325668,0.2386934608221054,16.472632417930043,0.1406943416832388,0.1908200532197952,38.42451095581055,6.940244929865003e-07,0.1,dct,EMPIAR10076_128
9,1,1,fourier_ring,0.0,0.0933709368109703,0.2425190955400467,16.318482799706924,0.1571853812874405,0.2141132801771164,39.11252212524414,7.508187422899937e-07,0.1,dct,EMPIAR10076_128
10,1,1,fourier_ring,0.0,0.0837277621030807,0.2309962660074234,16.791905125799047,0.1712550333450611,0.2014844417572021,37.03776168823242,7.398349453069386e-07,0.1,dct,EMPIAR10076_128
11,1,1,fourier_ring,0.0,0.0886063426733017,0.2377546578645706,16.54595210966161,0.1604742688936083,0.2030127495527267,38.101524353027344,6.805534553677717e-07,0.1,dct,EMPIAR10076_128
12,1,1,fourier_ring,0.0,0.097732126712799,0.248919665813446,16.120226329136,0.1574552531458971,0.2729598879814148,40.01553726196289,6.817496114308597e-07,0.1,dct,EMPIAR10076_128
13,1,1,fourier_ring,0.0,0.0856798887252807,0.2330423295497894,16.691811055114208,0.1618997575285586,0.2142414003610611,37.467041015625,7.370732078015862e-07,0.1,dct,EMPIAR10076_128
14,1,1,fourier_ring,0.0,0.0918246954679489,0.2409913092851638,16.391004657939874,0.1539510782761211,0.2254311293363571,38.78731536865234,6.563561782968463e-07,0.1,dct,EMPIAR10076_128
15,1,1,fourier_ring,0.0,0.0875927358865737,0.2351705133914947,16.59591924013138,0.1660665368428895,0.2599781155586242,37.88296890258789,6.709445870001218e-07,0.1,dct,EMPIAR10076_128
0,1,1,fourier_ring,0.0,0.0915243625640869,0.2406314611434936,16.40523301111195,0.1369909447532233,0.2413462698459625,38.72383117675781,6.705838018206123e-07,0.1,dct,EMPIAR10076_128
1,1,1,fourier_ring,0.0,0.0977948755025863,0.2496289759874344,16.117439076480146,0.1396085565644443,0.2878413796424866,40.02838134765625,6.769435003661783e-07,0.1,dct,EMPIAR10076_128
2,1,1,fourier_ring,0.0,0.0924674049019813,0.2420613318681717,16.36071311870728,0.1442346903543075,0.2364501655101776,38.92282104492188,6.099394340708386e-07,0.1,dct,EMPIAR10076_128
3,1,1,fourier_ring,0.0,0.1034945249557495,0.2564806938171386,15.87142624524773,0.1404821863233462,0.2587412595748901,41.178321838378906,6.135869057288801e-07,0.1,dct,EMPIAR10076_128
